lat,lon,state
8.0,93.5,Andaman and Nicobar
8.5,77.0,Kerala
8.5,77.5,Tamil Nadu
8.5,78.0,Tamil Nadu
9.0,77.0,Kerala
9.0,77.5,Tamil Nadu
9.0,78.0,Tamil Nadu
9.5,76.5,Kerala
9.5,77.0,Kerala
9.5,77.5,Tamil Nadu
9.5,78.0,Tamil Nadu
9.5,78.5,Tamil Nadu
10.0,76.5,Kerala
10.0,77.0,Kerala
10.0,77.5,Tamil Nadu
10.0,78.0,Tamil Nadu
10.0,78.5,Tamil Nadu
10.0,79.0,Tamil Nadu
10.5,76.5,Kerala
10.5,77.0,Tamil Nadu
10.5,77.5,Tamil Nadu
10.5,78.0,Tamil Nadu
10.5,78.5,Tamil Nadu
10.5,79.0,Tamil Nadu
10.5,79.5,Tamil Nadu
11.0,76.0,Kerala
11.0,76.5,Kerala
11.0,77.0,Tamil Nadu
11.0,77.5,Tamil Nadu
11.0,78.0,Tamil Nadu
11.0,78.5,Tamil Nadu
11.0,79.0,Tamil Nadu
11.0,79.5,Tamil Nadu
11.5,76.0,Kerala
11.5,76.5,Tamil Nadu
11.5,77.0,Tamil Nadu
11.5,77.5,Tamil Nadu
11.5,78.0,Tamil Nadu
11.5,78.5,Tamil Nadu
11.5,79.0,Tamil Nadu
11.5,79.5,Tamil Nadu
12.0,75.5,Kerala
12.0,76.0,Karnataka
12.0,76.5,Karnataka
12.0,77.0,Karnataka
12.0,77.5,Karnataka
12.0,78.0,Tamil Nadu
12.0,78.5,Tamil Nadu
12.0,79.0,Tamil Nadu
12.0,79.5,Tamil Nadu
12.0,93.0,Andaman and Nicobar
12.5,75.0,Kerala
12.5,75.5,Karnataka
12.5,76.0,Karnataka
12.5,76.5,Karnataka
12.5,77.0,Karnataka
12.5,77.5,Karnataka
12.5,78.0,Tamil Nadu
12.5,78.5,Tamil Nadu
12.5,79.0,Tamil Nadu
12.5,79.5,Tamil Nadu
12.5,80.0,Tamil Nadu
13.0,75.0,Karnataka
13.0,75.5,Karnataka
13.0,76.0,Karnataka
13.0,76.5,Karnataka
13.0,77.0,Karnataka
13.0,77.5,Karnataka
13.0,78.0,Karnataka
13.0,78.5,Andhra Pradesh
13.0,79.0,Tamil Nadu
13.0,79.5,Tamil Nadu
13.0,80.0,Tamil Nadu
13.5,75.0,Karnataka
13.5,75.5,Karnataka
13.5,76.0,Karnataka
13.5,76.5,Karnataka
13.5,77.0,Karnataka
13.5,77.5,Karnataka
13.5,78.0,Karnataka
13.5,78.5,Andhra Pradesh
13.5,79.0,Andhra Pradesh
13.5,79.5,Andhra Pradesh
13.5,80.0,Andhra Pradesh
13.5,93.0,Andaman and Nicobar
14.0,75.0,Karnataka
14.0,75.5,Karnataka
14.0,76.0,Karnataka
14.0,76.5,Karnataka
14.0,77.0,Andhra Pradesh
14.0,77.5,Andhra Pradesh
14.0,78.0,Andhra Pradesh
14.0,78.5,Andhra Pradesh
14.0,79.0,Andhra Pradesh
14.0,79.5,Andhra Pradesh
14.0,80.0,Andhra Pradesh
14.5,74.5,Karnataka
14.5,75.0,Karnataka
14.5,75.5,Karnataka
14.5,76.0,Karnataka
14.5,76.5,Karnataka
14.5,77.0,Andhra Pradesh
14.5,77.5,Andhra Pradesh
14.5,78.0,Andhra Pradesh
14.5,78.5,Andhra Pradesh
14.5,79.0,Andhra Pradesh
14.5,79.5,Andhra Pradesh
14.5,80.0,Andhra Pradesh
15.0,74.5,Karnataka
15.0,75.0,Karnataka
15.0,75.5,Karnataka
15.0,76.0,Karnataka
15.0,76.5,Karnataka
15.0,77.0,Andhra Pradesh
15.0,77.5,Andhra Pradesh
15.0,78.0,Andhra Pradesh
15.0,78.5,Andhra Pradesh
15.0,79.0,Andhra Pradesh
15.0,79.5,Andhra Pradesh
15.0,80.0,Andhra Pradesh
15.5,74.0,Goa
15.5,74.5,Karnataka
15.5,75.0,Karnataka
15.5,75.5,Karnataka
15.5,76.0,Karnataka
15.5,76.5,Karnataka
15.5,77.0,Andhra Pradesh
15.5,77.5,Andhra Pradesh
15.5,78.0,Andhra Pradesh
15.5,78.5,Andhra Pradesh
15.5,79.0,Andhra Pradesh
15.5,79.5,Andhra Pradesh
15.5,80.0,Andhra Pradesh
16.0,73.5,Maharashtra
16.0,74.0,Maharashtra
16.0,74.5,Karnataka
16.0,75.0,Karnataka
16.0,75.5,Karnataka
16.0,76.0,Karnataka
16.0,76.5,Karnataka
16.0,77.0,Karnataka
16.0,77.5,Karnataka
16.0,78.0,Andhra Pradesh
16.0,78.5,Andhra Pradesh
16.0,79.0,Andhra Pradesh
16.0,79.5,Andhra Pradesh
16.0,80.0,Andhra Pradesh
16.0,80.5,Andhra Pradesh
16.0,81.0,Andhra Pradesh
16.5,73.5,Maharashtra
16.5,74.0,Maharashtra
16.5,74.5,Karnataka
16.5,75.0,Karnataka
16.5,75.5,Karnataka
16.5,76.0,Karnataka
16.5,76.5,Karnataka
16.5,77.0,Karnataka
16.5,77.5,Andhra Pradesh
16.5,78.0,Andhra Pradesh
16.5,78.5,Andhra Pradesh
16.5,79.0,Andhra Pradesh
16.5,79.5,Andhra Pradesh
16.5,80.0,Andhra Pradesh
16.5,80.5,Andhra Pradesh
16.5,81.0,Andhra Pradesh
16.5,81.5,Andhra Pradesh
16.5,82.0,Andhra Pradesh
17.0,73.5,Maharashtra
17.0,74.0,Maharashtra
17.0,74.5,Maharashtra
17.0,75.0,Maharashtra
17.0,75.5,Maharashtra
17.0,76.0,Karnataka
17.0,76.5,Karnataka
17.0,77.0,Karnataka
17.0,77.5,Andhra Pradesh
17.0,78.0,Andhra Pradesh
17.0,78.5,Andhra Pradesh
17.0,79.0,Andhra Pradesh
17.0,79.5,Andhra Pradesh
17.0,80.0,Andhra Pradesh
17.0,80.5,Andhra Pradesh
17.0,81.0,Andhra Pradesh
17.0,81.5,Andhra Pradesh
17.0,82.0,Andhra Pradesh
17.5,73.5,Maharashtra
17.5,74.0,Maharashtra
17.5,74.5,Maharashtra
17.5,75.0,Maharashtra
17.5,75.5,Maharashtra
17.5,76.0,Maharashtra
17.5,76.5,Karnataka
17.5,77.0,Karnataka
17.5,77.5,Karnataka
17.5,78.0,Andhra Pradesh
17.5,78.5,Andhra Pradesh
17.5,79.0,Andhra Pradesh
17.5,79.5,Andhra Pradesh
17.5,80.0,Andhra Pradesh
17.5,80.5,Andhra Pradesh
17.5,81.0,Andhra Pradesh
17.5,81.5,Andhra Pradesh
17.5,82.0,Andhra Pradesh
17.5,82.5,Andhra Pradesh
17.5,83.0,Andhra Pradesh
18.0,73.5,Maharashtra
18.0,74.0,Maharashtra
18.0,74.5,Maharashtra
18.0,75.0,Maharashtra
18.0,75.5,Maharashtra
18.0,76.0,Maharashtra
18.0,76.5,Maharashtra
18.0,77.0,Karnataka
18.0,77.5,Karnataka
18.0,78.0,Andhra Pradesh
18.0,78.5,Andhra Pradesh
18.0,79.0,Andhra Pradesh
18.0,79.5,Andhra Pradesh
18.0,80.0,Andhra Pradesh
18.0,80.5,Andhra Pradesh
18.0,81.0,Chhattisgarh
18.0,81.5,Orissa
18.0,82.0,Andhra Pradesh
18.0,82.5,Andhra Pradesh
18.0,83.0,Andhra Pradesh
18.0,83.5,Andhra Pradesh
18.5,73.0,Maharashtra
18.5,73.5,Maharashtra
18.5,74.0,Maharashtra
18.5,74.5,Maharashtra
18.5,75.0,Maharashtra
18.5,75.5,Maharashtra
18.5,76.0,Maharashtra
18.5,76.5,Maharashtra
18.5,77.0,Maharashtra
18.5,77.5,Maharashtra
18.5,78.0,Andhra Pradesh
18.5,78.5,Andhra Pradesh
18.5,79.0,Andhra Pradesh
18.5,79.5,Andhra Pradesh
18.5,80.0,Andhra Pradesh
18.5,80.5,Andhra Pradesh
18.5,81.0,Chhattisgarh
18.5,81.5,Chhattisgarh
18.5,82.0,Orissa
18.5,82.5,Andhra Pradesh
18.5,83.0,Orissa
18.5,83.5,Andhra Pradesh
18.5,84.0,Andhra Pradesh
19.0,73.5,Maharashtra
19.0,74.0,Maharashtra
19.0,74.5,Maharashtra
19.0,75.0,Maharashtra
19.0,75.5,Maharashtra
19.0,76.0,Maharashtra
19.0,76.5,Maharashtra
19.0,77.0,Maharashtra
19.0,77.5,Maharashtra
19.0,78.0,Andhra Pradesh
19.0,78.5,Andhra Pradesh
19.0,79.0,Andhra Pradesh
19.0,79.5,Andhra Pradesh
19.0,80.0,Maharashtra
19.0,80.5,Chhattisgarh
19.0,81.0,Chhattisgarh
19.0,81.5,Chhattisgarh
19.0,82.0,Chhattisgarh
19.0,82.5,Orissa
19.0,83.0,Orissa
19.0,83.5,Andhra Pradesh
19.0,84.0,Orissa
19.0,84.5,Andhra Pradesh
19.5,73.0,Maharashtra
19.5,73.5,Maharashtra
19.5,74.0,Maharashtra
19.5,74.5,Maharashtra
19.5,75.0,Maharashtra
19.5,75.5,Maharashtra
19.5,76.0,Maharashtra
19.5,76.5,Maharashtra
19.5,77.0,Maharashtra
19.5,77.5,Maharashtra
19.5,78.0,Maharashtra
19.5,78.5,Andhra Pradesh
19.5,79.0,Andhra Pradesh
19.5,79.5,Andhra Pradesh
19.5,80.0,Maharashtra
19.5,80.5,Maharashtra
19.5,81.0,Chhattisgarh
19.5,81.5,Chhattisgarh
19.5,82.0,Chhattisgarh
19.5,82.5,Orissa
19.5,83.0,Orissa
19.5,83.5,Orissa
19.5,84.0,Orissa
19.5,84.5,Orissa
19.5,85.0,Orissa
20.0,73.0,Maharashtra
20.0,73.5,Maharashtra
20.0,74.0,Maharashtra
20.0,74.5,Maharashtra
20.0,75.0,Maharashtra
20.0,75.5,Maharashtra
20.0,76.0,Maharashtra
20.0,76.5,Maharashtra
20.0,77.0,Maharashtra
20.0,77.5,Maharashtra
20.0,78.0,Maharashtra
20.0,78.5,Maharashtra
20.0,79.0,Maharashtra
20.0,79.5,Maharashtra
20.0,80.0,Maharashtra
20.0,80.5,Maharashtra
20.0,81.0,Chhattisgarh
20.0,81.5,Chhattisgarh
20.0,82.0,Orissa
20.0,82.5,Chhattisgarh
20.0,83.0,Orissa
20.0,83.5,Orissa
20.0,84.0,Orissa
20.0,84.5,Orissa
20.0,85.0,Orissa
20.0,85.5,Orissa
20.0,86.0,Orissa
20.5,73.0,Gujarat
20.5,73.5,Maharashtra
20.5,74.0,Maharashtra
20.5,74.5,Maharashtra
20.5,75.0,Maharashtra
20.5,75.5,Maharashtra
20.5,76.0,Maharashtra
20.5,76.5,Maharashtra
20.5,77.0,Maharashtra
20.5,77.5,Maharashtra
20.5,78.0,Maharashtra
20.5,78.5,Maharashtra
20.5,79.0,Maharashtra
20.5,79.5,Maharashtra
20.5,80.0,Maharashtra
20.5,80.5,Maharashtra
20.5,81.0,Chhattisgarh
20.5,81.5,Chhattisgarh
20.5,82.0,Chhattisgarh
20.5,82.5,Orissa
20.5,83.0,Orissa
20.5,83.5,Orissa
20.5,84.0,Orissa
20.5,84.5,Orissa
20.5,85.0,Orissa
20.5,85.5,Orissa
20.5,86.0,Orissa
20.5,86.5,Orissa
21.0,70.5,Gujarat
21.0,71.0,Gujarat
21.0,71.5,Gujarat
21.0,73.0,Gujarat
21.0,73.5,Gujarat
21.0,74.0,Maharashtra
21.0,74.5,Maharashtra
21.0,75.0,Maharashtra
21.0,75.5,Maharashtra
21.0,76.0,Maharashtra
21.0,76.5,Maharashtra
21.0,77.0,Maharashtra
21.0,77.5,Maharashtra
21.0,78.0,Maharashtra
21.0,78.5,Maharashtra
21.0,79.0,Maharashtra
21.0,79.5,Maharashtra
21.0,80.0,Maharashtra
21.0,80.5,Chhattisgarh
21.0,81.0,Chhattisgarh
21.0,81.5,Chhattisgarh
21.0,82.0,Chhattisgarh
21.0,82.5,Chhattisgarh
21.0,83.0,Orissa
21.0,83.5,Orissa
21.0,84.0,Orissa
21.0,84.5,Orissa
21.0,85.0,Orissa
21.0,85.5,Orissa
21.0,86.0,Orissa
21.0,86.5,Orissa
21.5,70.0,Gujarat
21.5,70.5,Gujarat
21.5,71.0,Gujarat
21.5,71.5,Gujarat
21.5,72.0,Gujarat
21.5,73.0,Gujarat
21.5,73.5,Gujarat
21.5,74.0,Gujarat
21.5,74.5,Maharashtra
21.5,75.0,Maharashtra
21.5,75.5,Madhya Pradesh
21.5,76.0,Madhya Pradesh
21.5,76.5,Madhya Pradesh
21.5,77.0,Maharashtra
21.5,77.5,Madhya Pradesh
21.5,78.0,Madhya Pradesh
21.5,78.5,Maharashtra
21.5,79.0,Maharashtra
21.5,79.5,Maharashtra
21.5,80.0,Maharashtra
21.5,80.5,Madhya Pradesh
21.5,81.0,Chhattisgarh
21.5,81.5,Chhattisgarh
21.5,82.0,Chhattisgarh
21.5,82.5,Chhattisgarh
21.5,83.0,Chhattisgarh
21.5,83.5,Orissa
21.5,84.0,Orissa
21.5,84.5,Orissa
21.5,85.0,Orissa
21.5,85.5,Orissa
21.5,86.0,Orissa
21.5,86.5,Orissa
21.5,87.0,Orissa
22.0,69.5,Gujarat
22.0,70.0,Gujarat
22.0,70.5,Gujarat
22.0,71.0,Gujarat
22.0,71.5,Gujarat
22.0,72.0,Gujarat
22.0,73.0,Gujarat
22.0,73.5,Gujarat
22.0,74.0,Gujarat
22.0,74.5,Madhya Pradesh
22.0,75.0,Madhya Pradesh
22.0,75.5,Madhya Pradesh
22.0,76.0,Madhya Pradesh
22.0,76.5,Madhya Pradesh
22.0,77.0,Madhya Pradesh
22.0,77.5,Madhya Pradesh
22.0,78.0,Madhya Pradesh
22.0,78.5,Madhya Pradesh
22.0,79.0,Madhya Pradesh
22.0,79.5,Madhya Pradesh
22.0,80.0,Madhya Pradesh
22.0,80.5,Madhya Pradesh
22.0,81.0,Chhattisgarh
22.0,81.5,Chhattisgarh
22.0,82.0,Chhattisgarh
22.0,82.5,Chhattisgarh
22.0,83.0,Chhattisgarh
22.0,83.5,Chhattisgarh
22.0,84.0,Orissa
22.0,84.5,Orissa
22.0,85.0,Orissa
22.0,85.5,Orissa
22.0,86.0,Orissa
22.0,86.5,Orissa
22.0,87.0,Orissa
22.0,87.5,West Bengal
22.0,88.0,West Bengal
22.0,88.5,West Bengal
22.0,89.0,West Bengal
22.0,93.0,Mizoram
22.5,70.0,Gujarat
22.5,70.5,Gujarat
22.5,71.0,Gujarat
22.5,71.5,Gujarat
22.5,72.0,Gujarat
22.5,72.5,Gujarat
22.5,73.0,Gujarat
22.5,73.5,Gujarat
22.5,74.0,Gujarat
22.5,74.5,Madhya Pradesh
22.5,75.0,Madhya Pradesh
